exposure,model_form,outcome,transform,n_obs,n_subjects,beta1,se1,ci1_low,ci1_high,p1,beta2,se2,ci2_low,ci2_high,p2,alpha
vo2_mid,quadratic,lfhffft,log,923,22,-0.027889320707209994,0.011208546188902624,-0.049857667556512816,-0.005920973857907168,0.012838454779274045,-0.010492399519087155,0.005430022015177453,-0.02113504710409457,0.00015024806592025923,0.05332321586492252,0.9873449935400033
vo2_mid,linear,lfhffft,log,923,22,-0.026336461601827395,0.010660778471242076,-0.04723120345262184,-0.005441719751032952,0.01349594113024552,,,,,,0.9875074188779454
vo2_mid,quadratic,sampen,log,923,22,0.027525377752143698,0.008483910475379166,0.010897218772338443,0.04415353673194895,0.0011768963664885491,0.005496474807163444,0.004170055297374463,-0.0026766833892309687,0.013669633003557856,0.18747620095243878,0.9945007844388237
vo2_mid,linear,sampen,log,923,22,0.026687524940853996,0.007908516889495535,0.011187116666316011,0.04218793321539198,0.0007394194296589174,,,,,,0.9946784317255047
vo2_mean,quadratic,meanhr,raw,923,22,17.293749495394614,0.719602393364511,15.883354721211347,18.70414426957788,1.2763892726113178e-127,-0.9882311479817496,0.37183257261749747,-1.717009598590919,-0.25945269737258025,0.007866853586873768,1.0018184098392702
vo2_mean,linear,meanhr,raw,923,22,17.39315993056953,0.7715413895377219,15.880966594493607,18.905353266645456,1.5590539858634885e-112,,,,,,1.0010820703087944
vo2_mean,quadratic,sdnn,raw,923,22,-10.723318259922225,0.8600209525170296,-12.408928352805434,-9.037708167039016,1.1065624229662432e-35,-1.2294918325683137,0.7603835072079796,-2.7198161211342065,0.260832455997579,0.10589199261891016,1.001857299885462
vo2_mean,linear,sdnn,raw,923,22,-10.604678520316984,0.8165249760591328,-12.205038065870314,-9.004318974763654,1.4391710713110164e-38,,,,,,1.003641955326073
vo2_mean,quadratic,rmssd,log,923,22,-0.04098937753537245,0.057542001486461755,-0.15376962804718775,0.07179087297644285,0.4762552478226886,0.11817276173630036,0.022750767427781298,0.07358207695720204,0.16276344651539867,2.055667830204469e-07,0.9953249985839806
vo2_mean,linear,rmssd,log,923,22,-0.05061751482455395,0.05246650548243921,-0.15344997596480808,0.05221494631570019,0.3346657130896701,,,,,,0.9982900550479901
vo2_mean,quadratic,lfpowfft,log,923,22,-1.4752770867312834,0.0888095281154545,-1.6493405633215716,-1.3012136101409952,5.734643175433732e-62,0.10350459494727848,0.04606932691889994,0.013210373394232977,0.193798816500324,0.02465832040045523,0.9918115805429135
vo2_mean,linear,lfpowfft,log,923,22,-1.4808755555888005,0.0932798773732485,-1.6637007557226802,-1.2980503554549208,9.348787558464826e-57,,,,,,0.9919468031261102
vo2_mean,quadratic,hfpowfft,log,923,22,-0.9015397133743781,0.12417965929513068,-1.1449273732052887,-0.6581520535434674,3.871966477456269e-13,0.37341221347055265,0.06436859482471324,0.24725208587866337,0.4995723410624419,6.585957695506595e-09,0.9897736238784522
vo2_mean,linear,hfpowfft,log,923,22,-0.9234939312218163,0.12294385346227286,-1.1644594561284412,-0.6825284063151915,5.84493998896666e-14,,,,,,0.993761751265147
vo2_mean,quadratic,lfhffft,log,923,22,-0.5721191618558582,0.10744454495727414,-0.7827066003074101,-0.3615317234043062,1.0107220250227055e-07,-0.2698827651631213,0.07016550937707326,-0.40740463649909237,-0.13236089382715027,0.00011987891341429797,0.9901135395599189
vo2_mean,linear,lfhffft,log,923,22,-0.5602296472342255,0.09403044038209052,-0.7445259238335636,-0.3759333706348874,2.5540526551295243e-09,,,,,,0.9936120702667969
vo2_mean,quadratic,sampen,log,923,22,0.3458889039604385,0.0804584281714458,0.18819328249170184,0.5035845254291751,1.715885474273184e-05,0.19041455092791237,0.03981173193461781,0.11238499017389833,0.2684441116819264,1.7280530191154613e-06,0.9906427387551225
vo2_mean,linear,sampen,log,923,22,0.3389756877204039,0.07208599966163641,0.19768972459402998,0.48026165084677774,2.571476691225152e-06,,,,,,1.0003013645129584
vo2_median,quadratic,meanhr,raw,923,22,10.373834471859025,0.5882286839367756,9.22092743666955,11.5267415070485,1.310240728010666e-69,-1.1127373931452123,0.31447330020052594,-1.7290937356376956,-0.49638105065272886,0.0004025351584372573,0.9844684046253612
vo2_median,linear,meanhr,raw,923,22,10.222861538985159,0.7240337244425177,8.803781515485426,11.641941562484892,2.8877728772057e-45,,,,,,0.9842529554932944
